,Track Name,Artist Name,Album Name,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Insturmentalness,Liveness,Valence,Tempo,Duration MS,Time Signature
12,Canção pra Tua Glória,Trazendo a Arca,Na Casa dos Profetas,6,0.524,0.4,9,-10.812,1,0.0258,0.718,0.000144,0.116,0.245,130.088,306453,4
13,You're Gonna Cry,DWLLRS,You're Gonna Cry,29,0.527,0.562,4,-4.932,1,0.0345,0.44,0.0,0.21,0.323,81.05,219259,4
14,Oh Eesa - Club Mix,G. V. Prakash,Aayirathil Oruvan (Original Motion Picture Soundtrack),26,0.73,0.712,7,-10.675,1,0.0394,0.0255,0.378,0.217,0.271,130.001,302987,4
15,L'œuf,Lofofora,Lofofora,12,0.593,0.962,2,-5.979,1,0.0647,0.00311,1.88e-06,0.0571,0.533,99.943,254973,4
16,leave me in the dark,Alexander Stewart,leave me in the dark,55,0.614,0.48,9,-6.678,1,0.0283,0.332,0.0,0.121,0.305,101.741,149667,3
17,I Will One Day Learn to Fly into the Stars,$uicideboy$,I No Longer Fear the Razor Guarding My Heel (II),47,0.688,0.768,8,-6.257,1,0.0659,0.00758,0.0,0.276,0.0974,139.944,130351,4
18,アダムの林檎 (LPバージョン),Seikima-II,地獄より愛をこめて,21,0.555,0.958,9,-4.49,0,0.049,0.000348,0.0197,0.334,0.409,124.633,272427,4
19,Two Zips,Roc Marciano,Reloaded,16,0.633,0.66,1,-7.782,1,0.314,0.426,0.0,0.496,0.595,81.249,178699,4
20,Heaven & Earth - Radio Edit,DTAH,Heaven & Earth,24,0.518,0.996,7,-4.742,0,0.0432,0.00252,0.656,0.0582,0.398,149.988,221750,4
21,Amiga mía,Alejandro Sanz,Más,72,0.629,0.703,2,-4.875,1,0.0504,0.519,0.0,0.11,0.402,144.016,290973,4
22,Can’t Stop,Skilla Baby,We Eat The Most,32,0.602,0.712,5,-6.091,1,0.0985,0.0595,0.0,0.365,0.0784,87.026,176552,4
23,Express Yourself - Terrence Parker Remix,Terrence Parker,Express Yourself,0,0.804,0.863,0,-9.124,1,0.0567,0.00362,0.844,0.0674,0.745,122.993,486999,4
24,Gallons,The Slaps,B,18,0.631,0.315,9,-11.823,1,0.0326,0.718,0.00383,0.101,0.306,98.341,179567,4
25,What Have You Got Planned Tonight Diana,Randy Travis,"Influence, Vol. 1: The Man I Am",26,0.572,0.3,0,-12.971,1,0.0263,0.703,5.71e-05,0.177,0.335,70.994,209933,4
26,A ver qué pasa - Estrella Damm 2021,Rigoberta Bandini,A ver qué pasa - Estrella Damm 2021,50,0.562,0.655,7,-9.207,0,0.0514,0.0159,0.00953,0.122,0.398,129.929,232350,4
27,The Name of Life (Piano Solo),Maffesfish,The Name of Life (Piano Solo),43,0.501,0.183,0,-25.152,1,0.0624,0.995,0.932,0.269,0.181,180.012,123482,4
28,An Act Of God,Immolation,Acts Of God,24,0.189,0.902,8,-4.457,0,0.0895,0.000359,0.931,0.164,0.0727,102.499,244156,4
29,不可能失眠,Meeia Foo,也不是不會唱,3,0.48,0.489,11,-10.843,1,0.039,0.669,5.67e-06,0.126,0.263,142.083,218666,4
30,Lama Nas Ruas - Ao Vivo,Zeca Pagodinho,Zeca Pagodinho - Uma Prova De Amor Ao Vivo (Deluxe),40,0.447,0.8,9,-8.128,1,0.144,0.671,0.0,0.905,0.542,83.998,202667,4
31,Ekhal na jarmarku (as a merry merchant rode to the fair),Nikolai Erdenko,The Famous Songs of Russian Gypsies,0,0.664,0.545,4,-13.633,0,0.0814,0.675,0.0,0.0983,0.768,110.506,158280,4
32,The End - Remastered 2009,The Beatles,Abbey Road (Remastered),55,0.647,0.487,11,-10.119,0,0.069,0.00101,0.26,0.138,0.222,123.442,141613,1
33,切り札を探せ - Live at 横浜スタジアム'95 - Remastered 2022,Eikichi Yazawa,LIVE DECADE 1990-1999 (50th Anniversary Remastered),18,0.429,0.953,0,-5.467,1,0.128,0.000625,0.00121,0.515,0.27,152.173,221280,4
34,Rampage,Kavinsky,OutRun,32,0.432,0.873,5,-3.015,0,0.0588,0.0124,0.0956,0.346,0.503,111.121,175653,4
35,Music & Me,Nate Dogg,Music and Me,57,0.905,0.414,8,-8.112,0,0.0615,0.105,0.000366,0.0914,0.758,99.133,240627,4
36,Easy On Me,Adele,Easy On Me,78,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,4
37,Ritmo Mexicano,Mc Gw,Ritmo Mexicano,57,0.687,0.872,10,-3.013,0,0.0983,0.125,0.00839,0.0906,0.706,179.991,190354,4
38,Runnin' the Front (TTK),The Brokedowns,Making a Midwesterner,1,0.179,0.929,4,-3.966,1,0.0689,0.00654,0.00285,0.338,0.415,190.404,103317,4
39,Close To You,Gracie Abrams,The Secret of Us,85,0.59,0.727,6,-7.955,1,0.0706,0.0259,6.48e-05,0.0827,0.356,121.966,225973,4
40,Por Ti Volaré,Andrea Bocelli,Lo Mejor De Andrea Bocelli - 'Vivere' (Edición Especial En Español),43,0.335,0.38,7,-7.587,1,0.0303,0.835,0.00333,0.0908,0.174,102.036,250493,4
41,Avinu Malkeinu,Barbra Streisand,Higher Ground,30,0.211,0.236,5,-12.052,0,0.0393,0.971,0.0892,0.108,0.0681,130.252,246960,3
42,Thinking of You - Dimitri from Paris Remix; 2018 Remaster,Sister Sledge,Dimitri From Paris Presents Le CHIC Remix,33,0.737,0.868,10,-7.307,1,0.0443,0.0605,1.5e-05,0.381,0.77,105.026,389332,4
43,Rosa Luftballong - Sped Up,TRENDEN,Rosa Luftballong (Sped Up),42,0.746,0.691,0,-8.77,0,0.0596,0.281,0.000159,0.25,0.417,97.697,147692,4
44,Relics,Advaitas,Relics,19,0.235,0.0262,5,-29.603,1,0.0365,0.98,0.847,0.116,0.0769,68.361,140100,4
45,Ooh Uhh,Ash Koosha,I AKA I,0,0.241,0.572,8,-10.061,1,0.0457,0.288,0.806,0.113,0.0563,114.475,226133,3
46,Anthem Mayhem,Kodove,DemoCrazy,39,0.699,0.649,0,-11.022,0,0.124,0.00038,0.593,0.328,0.45,119.907,156082,4
47,Beyaz Atlı,Kardes Türküler,Yol,10,0.526,0.695,5,-7.56,0,0.0599,0.297,0.00646,0.226,0.336,119.911,312491,4
48,"Do You Want to Build a Snowman? - From ""Frozen""/Soundtrack Version",Kristen Bell,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),69,0.352,0.121,3,-15.551,1,0.047,0.85,0.000178,0.257,0.166,148.56,206507,5
49,"Push up Back Bend, Pt. 2",Christopher Zondaflex Tyler,"The Mr. Chris Dance Project, Pt. 2",0,0.858,0.608,8,-14.3,1,0.408,0.0921,0.0,0.0963,0.746,155.954,224445,4
50,Cookies with a Smile,Dada Life,Cookies with a Smile,15,0.87,0.459,0,-6.357,1,0.0619,0.00125,0.0104,0.11,0.289,127.985,285667,4
51,Come Get Your Coat,Blacktop Mojo,Under the Sun,23,0.431,0.85,6,-4.803,1,0.0643,0.000107,0.000128,0.181,0.585,141.979,268813,4
52,Un Amor Tan Grande,El Arrebato,Abrazos,44,0.452,0.742,4,-4.356,0,0.364,0.303,0.0,0.0975,0.582,168.08,213496,4
53,Veja Bem Meu Bem,Daniela Soledade,Veja Bem Meu Bem (Single),35,0.589,0.231,9,-15.078,0,0.0477,0.814,8.5e-05,0.0976,0.276,111.975,322203,4
54,When We Die (Can We Still Get High?) (feat. Lil Yachty),YUNGBLUD,When We Die (Can We Still Get High?) (feat. Lil Yachty),55,0.359,0.773,4,-2.727,1,0.0347,0.000726,0.0,0.147,0.183,80.062,300213,4
55,"A Big Hunk O' Love - Live at The Honolulu International Center, Hawaii January 14, 1973",Elvis Presley,Aloha From Hawaii Via Satellite (Deluxe Edition),26,0.346,0.965,0,-7.511,1,0.132,0.272,0.0186,0.5,0.534,189.25,142819,4
56,"Beer, Bitches And Bulletbelts",Phobia,22 Random Acts Of Violence,25,0.239,0.98,8,-3.025,1,0.233,0.00159,0.784,0.304,0.248,167.946,61765,4
57,Delusion of Feelings,Paul Hynderick,Delusion of Feelings,0,0.589,0.615,9,-5.405,1,0.0437,0.563,0.899,0.215,0.567,126.011,185714,4
58,"Keep a Little Soul - Outtake, 1982",Tom Petty,An American Treasure (Deluxe),31,0.659,0.755,2,-5.085,1,0.0314,0.0969,0.0,0.367,0.542,115.553,188040,4
59,Es Por Amor,GIT,"GIT, El Album",57,0.839,0.448,5,-15.116,1,0.0389,0.0087,0.019,0.0606,0.919,131.698,313840,4
60,"How Do You Keep the Music Playing? (From the Movie "" Best Friends "" )",Kevin Tarte,Reflection,0,0.198,0.211,0,-13.721,0,0.0345,0.93,0.0736,0.0943,0.103,80.347,311547,1
61,Noche Sensorial,Esteman,Amor Libre,50,0.857,0.735,7,-5.221,1,0.0612,0.145,0.0036,0.0546,0.658,105.008,201000,4
62,Let Me Go (ASOT 1181),Daniel Wanrooy,ASOT 1181 - A State of Trance Episode 1181 [Including Live at Tomorrowland Belgium 2018 (Highlights)],33,0.352,0.879,3,-6.963,0,0.0306,0.0015,0.0975,0.18,0.472,131.137,353070,4
63,En Hora Buena,Alex Zurdo,En Hora Buena,51,0.746,0.856,0,-3.882,1,0.0392,0.312,3.64e-06,0.141,0.679,93.053,196669,4
64,Weight Of The World - Extended Club Mix,Armin van Buuren,Weight Of The World (Club Mix),3,0.464,0.96,1,-3.115,1,0.0584,0.0539,0.732,0.0941,0.251,126.987,296416,4
65,Maybach (feat. Future),42 Dugg,Free Dem Boyz,59,0.735,0.446,5,-10.232,1,0.109,0.0071,1.93e-05,0.173,0.121,150.915,199093,4
66,Kapitel 34 - Every,Dave Eggers,Every (Ungekürzte Lesung),1,0.617,0.39,11,-15.91,1,0.935,0.349,0.0,0.185,0.346,79.053,196742,4
67,Mad World - Bomb A Drop,Hardwell,Hardwell presents Revealed Vol. 7,31,0.643,0.961,5,-2.151,1,0.0509,0.00176,0.00687,0.0736,0.151,127.978,153499,4
68,Dead Bodies (135 BPM),The 808 Gang,"Trap Beats, Vol. 2 (The Hottest Banging Trap & Hip Hop Instrumentals and Beats)",2,0.753,0.625,1,-3.823,1,0.0333,0.0014,0.113,0.299,0.108,135.072,245338,4
69,Leidiane,Júlio Nascimento,Em Ritmo de Seresta,32,0.857,0.667,0,-8.847,1,0.0376,0.276,3.03e-05,0.0895,0.973,132.291,221597,4
70,JUNE'S MIST,High Sunn,JUNE'S MIST,9,0.519,0.986,2,-2.618,1,0.0479,0.11,0.0127,0.376,0.712,174.965,244114,4
71,Let the Peace of God Reign - Live,Hillsong Worship,Shout to the Lord (Live),32,0.381,0.469,5,-10.963,1,0.0368,0.445,0.0,0.971,0.197,67.304,322867,4
72,Estrada do Coração,Agepê,Mistura Brasileira,35,0.664,0.732,7,-8.636,0,0.0377,0.432,3.2e-06,0.135,0.943,131.942,228893,4
73,OKAY,JT,OKAY,69,0.71,0.556,11,-6.443,1,0.188,0.00179,0.0,0.36,0.372,79.035,164074,4
74,original me (feat. dan reynolds of imagine dragons),YUNGBLUD,original me (feat. dan reynolds of imagine dragons),50,0.471,0.786,1,-5.24,1,0.192,0.00888,1.89e-06,0.187,0.61,160.01,205320,4
75,Júrame,Camilo Orozco,Musica Mexicana Con Guitarra (Musica Instrumental),34,0.662,0.727,2,-5.664,1,0.0281,0.316,0.795,0.317,0.241,100.039,155147,4
76,"TEENAGE EMOTION - FROM ""GIGS"" CASE OF BOOWY",BOØWY,"""GIGS"" CASE OF BOφWY COMPLETE (Live From ""Gigs"" Case Of Boowy / 1987)",29,0.429,0.981,7,-3.174,1,0.0599,0.00213,0.000732,0.513,0.395,95.544,236440,4
77,Das erste Bier,Malle Anja,Das erste Bier,50,0.587,0.97,9,-2.044,1,0.172,0.0241,0.0,0.0815,0.679,166.78,148338,4
78,The Color of Love,Boyz II Men,Full Circle,51,0.498,0.508,2,-5.883,1,0.0348,0.0325,0.0,0.136,0.199,74.866,290933,4
79,Hanging On - CRi Remix,Bob Moses,Hanging On (CRi Remix),40,0.645,0.677,7,-10.085,0,0.0298,0.125,0.851,0.15,0.074,122.002,326026,4
80,True - 2003 Remaster,Spandau Ballet,True (Special Edition),68,0.777,0.521,0,-8.443,1,0.0277,0.359,0.11,0.0594,0.335,97.623,393387,4
81,SKIN TO BONE (feat. Cody B. Ware and Ryu) - Nick Catchdubs Remix,Linkin Park,RECHARGED,28,0.433,0.827,9,-3.816,1,0.282,0.062,0.0,0.369,0.655,166.154,234187,4
82,Night Crossing - Live in 2020,Bleed From Within,Viral Hysteria (Live in 2020),8,0.395,0.906,1,-11.978,1,0.0791,5.3e-05,0.351,0.317,0.118,98.965,335897,4
83,Hide and Seek,Imogen Heap,Speak for Yourself,58,0.451,0.166,9,-11.125,1,0.0696,0.909,0.0,0.19,0.0901,121.123,268980,4
84,Hard Ears,Tommy Lee Sparta,Hard Ears,33,0.809,0.678,8,-5.76,0,0.0829,0.12,0.000127,0.146,0.385,98.999,157573,4
85,You Are My Light,赵露思,You Are My Light,55,0.644,0.556,1,-6.113,1,0.0315,0.426,0.0,0.113,0.542,140.001,152578,4
86,João E Maria,Nara Leão,20 Grandes Sucessos De Nara Leao,38,0.582,0.351,7,-12.27,0,0.0384,0.608,0.0,0.0754,0.681,115.386,140867,3
87,SNEAKY,WYR GEMI,SNEAKY,50,0.673,0.864,1,-6.017,1,0.0322,0.00186,0.907,0.0774,0.0382,112.037,125861,4
88,One Million Lovers,The Growlers,Hung At Heart,45,0.501,0.723,8,-5.07,1,0.0322,0.712,0.00106,0.107,0.678,101.969,282739,4
89,Cry Me A River,Ella Fitzgerald,"Clap Hands, Here Comes Charlie! (Expanded Edition)",44,0.44,0.147,8,-12.761,0,0.0359,0.963,0.0,0.1,0.354,132.613,256867,4
90,I'll Step Aside,Marty Robbins,Have I Told You Lately That I Love You,2,0.649,0.52,10,-8.608,1,0.0282,0.583,0.000178,0.0785,0.594,131.13,139867,4
91,The Green Manalishi (With the Two Pronged Crown),Judas Priest,Killing Machine,43,0.554,0.79,9,-7.126,1,0.0695,0.000738,0.00401,0.342,0.598,124.336,202627,4
92,Lost Boy,Ruth B.,Safe Haven,68,0.586,0.128,7,-9.297,1,0.0496,0.963,0.0,0.0858,0.371,123.498,276067,4
93,No Stopping Us (feat. Foreign Beggars),Dirtyphonics,Irreverence,17,0.526,0.924,7,-3.688,1,0.142,0.00109,1.65e-06,0.1,0.231,127.828,215625,4
94,"Partita in B-Flat Major, BWV 825: II. Allemande",Johann Sebastian Bach,Bach Piano Classical Pieces,0,0.321,0.102,10,-27.224,1,0.0596,0.995,0.9,0.153,0.382,178.632,425245,4
95,"I Promise You - Live at Österåker Prison, Sweden - October 1972",Johnny Cash,På Österåker (35th Anniversary Edition),4,0.592,0.388,10,-13.251,1,0.28,0.81,1e-06,0.407,0.753,122.392,208360,4
96,"The Creatures of Prometheus, Op. 43: Introduzione. La Tempesta. Allegro non troppo",Ludwig van Beethoven,Atmospheres: Bach & Beethoven,13,0.171,0.124,9,-16.8,0,0.0335,0.863,0.895,0.134,0.131,143.059,117867,4
97,Moth To A Flame (with The Weeknd),Swedish House Mafia,Paradise Again,79,0.553,0.659,8,-7.295,1,0.0391,0.0027,0.0,0.105,0.105,120.146,234000,4
98,The Dominant View,King Prawn,Got the Thirst,25,0.596,0.904,1,-5.259,1,0.0839,0.0154,0.000184,0.328,0.67,165.909,204347,4
99,I Want to Hold Your Hand - Acoustic,Richard Watts,I Want to Hold Your Hand (Acoustic),44,0.796,0.295,4,-9.449,1,0.0358,0.711,1.3e-06,0.109,0.64,118.02,154966,3
100,Introdução a Fotografia de um Instante,Haikaiss,"Fotografia de um Instante, Vol. 1 & 2",21,0.628,0.684,3,-8.501,0,0.361,0.141,0.0,0.13,0.746,87.03,305210,4
101,Nameless World,Skip the Use,Little Armageddon,49,0.695,0.776,2,-3.798,0,0.0361,0.00324,2.21e-05,0.127,0.706,126.035,199947,4
102,Apple,Charli xcx,BRAT,87,0.804,0.957,0,-5.452,1,0.034,0.125,0.0174,0.114,0.962,126.035,151740,4
103,Angel Cry,G-Eazy,Angel Cry,32,0.613,0.67,11,-6.927,0,0.366,0.0988,0.0,0.0971,0.23,169.526,184897,4
104,Zauberberg 7,GAS,Zauberberg,14,0.169,0.23,2,-18.496,1,0.0423,0.00647,0.507,0.0911,0.0398,122.44,718720,4
105,Na Base Do Beijo / Manda Ver / Pra Abalar - Ao Vivo / Medley,Ivete Sangalo,O Carnaval De Ivete Sangalo 2015 (Ao Vivo),37,0.407,0.965,11,-5.605,1,0.25,0.133,4.63e-05,0.416,0.534,168.05,266733,4
106,Intersteller Crime Report,Underground Resistance,Intersteller Fugitives,11,0.538,0.679,11,-10.668,0,0.0673,8.21e-05,0.881,0.0876,0.282,136.662,263533,4
107,All To Me,Giveon,When It's All Said And Done... Take Time,68,0.523,0.543,5,-8.39,0,0.156,0.65,0.0,0.257,0.318,116.161,127807,3
108,Crying in your sleep,Raxeller,Crying in your sleep,46,0.639,0.988,1,-7.319,1,0.0471,0.00152,0.983,0.705,0.308,159.981,355977,4
109,In Dreams of Mine,Faith And The Muse,Vera Causa,20,0.486,0.515,7,-13.517,0,0.0372,0.000864,0.176,0.131,0.164,82.007,235773,4
110,Come & Get It - DJ M3 Mixshow Extended Remix,Selena Gomez,Come & Get It Remixes,16,0.679,0.788,5,-2.988,0,0.0614,0.0147,0.00935,0.0405,0.554,134.001,331547,4
111,Korken knallen,Nancy Franck,Korken knallen,34,0.665,0.956,7,-2.357,0,0.0463,0.013,0.0,0.819,0.651,136.017,196346,4
112,Shut Down,BLACKPINK,BORN PINK,66,0.814,0.704,0,-5.146,1,0.036,0.00291,0.0,0.182,0.621,110.056,175889,3
113,Até que enfim - Ao vivo,Ferrugem,Chão de estrelas (Ao vivo),64,0.568,0.703,3,-5.268,1,0.034,0.538,0.0,0.922,0.74,139.889,224182,4
114,Space Station - My Nu Leng Remix,Voltage,Space Station (My Nu Leng Remix),19,0.556,0.949,9,-1.508,0,0.0732,0.00589,0.766,0.314,0.04,174.993,340114,4
115,"12 Violin Concertos, Op. 4 - ""La stravaganza"" - Concerto No. 6 in G Minor, RV 316a: 3. Allegro",Antonio Vivaldi,A Baroque Concerto,14,0.425,0.0948,6,-22.269,0,0.0497,0.919,0.00374,0.0875,0.259,122.058,260973,3
116,Qui sait ? (feat. ElGrandeToto),Niro,Taulier,62,0.534,0.624,1,-6.406,0,0.116,0.712,0.000132,0.112,0.642,87.786,190787,4
117,Historia De Un Amor,Luis Miguel,Segundo Romance,64,0.438,0.71,9,-7.607,0,0.0345,0.342,0.0,0.0881,0.275,82.743,234293,4
118,Fontanel,Eartheater,Trinity,38,0.601,0.878,9,-7.758,0,0.0937,0.0379,0.0428,0.593,0.209,120.017,220246,4
119,Ready 2 Go,Claytin,Ready 2 Go,36,0.445,0.624,6,-8.111,0,0.234,0.00393,0.0,0.166,0.364,131.423,138857,4
120,Pjanoo - Club Mix,Eric Prydz,Pjanoo,48,0.663,0.624,7,-6.923,0,0.0324,0.000939,0.888,0.0666,0.63,126.024,450912,4
121,Heartstrings,Secret Garden,Songs From A Secret Garden,40,0.221,0.206,0,-13.834,1,0.063,0.974,0.465,0.157,0.0845,69.406,205267,4
122,Aquarela do Brazil,Gal Costa,Best of Brazil,29,0.63,0.797,10,-7.64,0,0.0719,0.363,5.24e-05,0.0514,0.659,127.475,210307,4
123,Terra Mount - Inámo Dub,Umami,"Insight, Vol. 1",31,0.796,0.796,6,-11.892,0,0.0455,0.00205,0.928,0.114,0.0385,123.999,453320,4
124,"Quando Isso Tudo Passar - Cantando Histórias, Pt. 2 - Acústico",Flavio Ferrari,"Quando Isso Tudo Passar - Cantando Histórias, Pt. 2 (Acústico)",4,0.469,0.211,4,-12.505,1,0.0365,0.894,1.13e-06,0.343,0.21,105.667,204011,5
125,As Novinhas Tão Sensacional,Pedro Paulo & Alex,Na Batida do PPA,58,0.724,0.89,6,-8.132,0,0.0915,0.132,0.0,0.797,0.67,100.043,196573,4
126,Baatein Ye Kabhi Na - Lofi Flip,Deepanshu Ruhela,Baatein Ye Kabhi Na (Lofi Flip),42,0.539,0.481,1,-11.066,0,0.0262,0.832,0.0,0.0565,0.235,84.998,158360,4
127,Exploration of Space - UK Radio Edit,Cosmic Gate,Exploration of Space,28,0.628,0.948,9,-6.566,0,0.0384,0.0303,0.466,0.0733,0.288,138.038,151133,4
128,ecstacy (slowed),SUICIDAL-IDOL,ecstacy (slowed),77,0.551,0.677,2,-7.311,1,0.0665,0.0173,0.0,0.381,0.195,106.414,119120,4
129,Every Time You Go - Acoustic Version,3 Doors Down,Time Of My Life,35,0.584,0.53,2,-4.432,1,0.0287,0.465,0.0,0.349,0.49,126.105,228800,4
130,O Sr. Inácio Péricles Não Sabia Surfar,Móveis Coloniais de Acaju,Festival Rolla Pedra - Série Rock 'n' Roll,0,0.48,0.931,5,-1.595,1,0.0485,0.305,0.051,0.0979,0.666,105.393,229088,4
131,This is Halloween - Pop Version,Marilyn Manson,The Jack 2 Pack (The Nightmare Before Christmas),46,0.482,0.949,5,-6.359,0,0.192,0.114,8.85e-05,0.0942,0.327,168.181,202333,4
132,Sombody else - Acoustic,Sara Farell,#Covers,43,0.444,0.316,2,-7.751,1,0.0429,0.841,0.0,0.138,0.571,201.64,170713,4
133,The Day You Left,amies,Solitude,41,0.565,0.0232,1,-24.73,1,0.0454,0.953,0.903,0.114,0.241,60.941,148000,4
134,Night or Day,Chris Cohen,Paint a Room,32,0.619,0.621,10,-10.367,0,0.0322,0.275,0.702,0.127,0.887,80.938,199052,4
135,Volvamos a Intentarlo,Abraham Vazquez,Lo Raro de Mi Libreta,46,0.655,0.301,7,-8.672,1,0.0283,0.761,0.0,0.109,0.712,146.969,204000,4
136,ghệ iu dấu của em ơi (CLOUDEE remix) (live from GENfest 23),tlinh,ái (live from GENfest 23),26,0.357,0.614,1,-9.585,1,0.0463,0.179,8.03e-05,0.414,0.209,105.013,181500,4
137,Rase Your Fist - Instrumental Remix,Sickret,Raise Your Fist (Remix),16,0.507,0.983,6,-0.389,0,0.117,6.98e-05,0.794,0.113,0.491,174.087,195862,4
138,Replicant,They Might Be Giants,Nanobots,20,0.42,0.474,4,-9.435,0,0.0319,0.6,0.2,0.309,0.303,97.383,175547,4
139,The National Anthem,United States Air Force Heritage of America Band,Songs of America,22,0.306,0.305,10,-14.203,1,0.0448,0.95,0.929,0.182,0.364,90.732,86773,4
140,Porque Homem não chora - Ao Vivo,Pablo,"Pablo 20 ANOS, Pt.1 (Ao Vivo)",49,0.63,0.673,7,-6.838,1,0.0279,0.161,0.000188,0.562,0.551,132.158,165000,4
141,Learn from This Mistake,DOWN,Down II,36,0.359,0.551,11,-7.818,1,0.0384,0.0673,0.0231,0.147,0.329,109.418,434373,3
142,"Piano Sonata No. 9 in D Major, K. 311: II. Andante con expressione",Wolfgang Amadeus Mozart,Mozart Piano Classical Pieces,0,0.485,0.0132,7,-28.782,1,0.0509,0.995,0.889,0.16,0.342,127.812,420240,4
143,Embrace of Comforting Shadows,Dream House,Healing Piano to Ease Pain,0,0.606,0.0447,0,-22.366,1,0.042,0.995,0.938,0.0969,0.26,80.056,134564,3
144,All the Young Punks (New Boots and Contracts) - Remastered,The Clash,Give 'Em Enough Rope (Remastered),33,0.528,0.895,11,-5.906,1,0.063,0.03,0.0,0.573,0.666,151.998,298453,4
145,EL PIBE DE ORO,Geolier,DIO LO SA,71,0.742,0.533,4,-7.292,0,0.247,0.132,0.0,0.0874,0.792,142.049,155493,4
146,A Ella,KAROL G,Unstoppable,77,0.735,0.759,2,-5.354,1,0.193,0.242,1.96e-05,0.15,0.598,181.902,198907,4
147,La Luz,Juanes,Loco De Amor,46,0.624,0.979,1,-3.796,0,0.0495,0.111,0.0,0.0972,0.88,157.962,176987,4
148,Nuevo Orden Mundial,Malon,Nuevo Orden Mundial,28,0.494,0.982,7,-4.775,1,0.0539,2.47e-06,0.0692,0.314,0.51,130.077,231427,4
149,First Communion. Mode: Direct,Neptune Towers,Transmissions from Empire Algol,5,0.217,0.55,10,-14.687,1,0.0629,0.928,0.89,0.0763,0.0372,127.694,1390667,4
150,Noh Taksim,Baba Zula,Baba Zula Box Set,1,0.36,0.618,4,-13.386,1,0.0522,0.966,0.79,0.247,0.0521,74.846,67373,5
151,Hair In My Eyes Like a Highland Steer,Corb Lund,Hair In My Eyes Like a Highland Steer,33,0.749,0.678,11,-8.086,1,0.0346,0.0405,0.000336,0.0772,0.844,112.024,176227,4
152,We Will Rise - Extended Mix,Art Frequency,We Will Rise,0,0.428,0.991,2,-4.521,0,0.482,0.0546,0.000348,0.32,0.124,154.799,215226,4
153,Deixe-me Ir (Remix),Bruno Motta,Deixe-me Ir (Remix),24,0.731,0.883,9,-5.627,0,0.0739,0.0782,5.54e-05,0.376,0.411,125.97,160000,4
154,Ramblin' Man,Allman Brothers Band,Brothers And Sisters (Super Deluxe),64,0.305,0.824,1,-8.33,1,0.0354,0.51,0.00292,0.272,0.921,179.404,288160,4
155,Boxes,Kim Walker-Smith,Trample,42,0.624,0.71,10,-5.294,1,0.0472,0.0956,0.0,0.0747,0.322,76.996,218081,4
156,Queen of the Night - Radio Edit,Whitney Houston,The Bodyguard - Original Soundtrack Album,51,0.741,0.899,0,-7.13,1,0.0445,0.000656,0.0137,0.0991,0.757,104.895,188600,4
